quote;date;month;year
Aucun État ayant un programme autonome de vol spatial habité actif ou en développement n’a ratifié (carte) le traité sur la Lune.;2017-01-01;1;2017
Le 1er janvier 1977, la Belgique a divisé par près de 4 le nombre de ses communes, le faisant passer de 2 359 à 596.;2017-01-01;1;2017
Le fruit de la pomme de terre (dessin) est toxique.;2017-01-02;1;2017
Une loi adoptée sous le Consulat a autorisé les Marat, Lepelletier, Robespierre, Paix, Constitution et Brutus, à changer de prénom.;2017-01-02;1;2017
Depuis le passage des Schtroumpfs, les maisons de Júzcar en Espagne sont bleues (photo).;2017-01-03;1;2017
Le Paléolithique recouvre environ 95 % de la période d’existence de notre espèce, depuis son apparition jusqu’à nos jours.;2017-01-03;1;2017
Jusqu’au XVIIIe siècle, le Saint-Gothard (tableau) était considéré comme la plus haute montagne des Alpes.;2017-01-04;1;2017
Persuadés de la victoire à venir de Thomas Dewey, les instituts de sondages américains ont arrêté leur activité concernant l’élection présidentielle de 1948 plus d’une semaine avant le vote, qui a vu la victoire de Harry S. Truman.;2017-01-04;1;2017
La Biélorussie est le dernier pays d’Europe à pratiquer la peine de mort.;2017-01-05;1;2017
La présidence de Pedro Lascuráin Paredes (photo) a duré moins d’une heure.;2017-01-05;1;2017
Selon une tradition révolutionnaire reprise pendant le septennat de Valéry Giscard d’Estaing, la galette des Rois offerte chaque année au président de la République française ne cache aucune fève.;2017-01-06;1;2017
Pour l’UNESCO, un livre (photo) compte au moins 49 pages hors couverture.;2017-01-06;1;2017
L’opération Sangaris, intervention française en République centrafricaine, porte le nom d’un papillon africain (photo).;2017-01-07;1;2017
Jean-Jacques Goldman avait d’abord écrit la chanson L’Envie pour Michel Sardou, plusieurs années avant de la proposer à Johnny Hallyday.;2017-01-07;1;2017
Exodus International, qui fut la plus grande association d’« ex-homosexuels », s’est dissoute en 2013 après 37 ans d’existence en s’excusant pour les torts qu’elle avait causés.;2017-01-08;1;2017
En 2005-2006, Kyle MacDonald est parvenu à obtenir une maison par une série de trocs à partir d’un trombone rouge (photo).;2017-01-08;1;2017
L’hymne national macédonien évoque l’éphémère République de Krouchevo (drapeau) qui exista pendant dix jours lors de l’insurrection d’Ilinden en 1903.;2017-01-09;1;2017
Poursuivi par son pays, le lanceur d’alerte Christoph Meili est devenu en 1997 le premier Suisse à obtenir l’asile politique aux États-Unis.;2017-01-09;1;2017
Inventeur de la programmation linéaire, Leonid Kantorovitch (photo) est le seul chercheur soviétique à avoir reçu le « Nobel d’économie ».;2017-01-10;1;2017
Avec environ 640 milliards de dollars en 2013, les dépenses des Forces armées des États-Unis représentaient 37 % du total des dépenses militaires mondiales.;2017-01-10;1;2017
Quarante ans avant l’indépendance en un royaume unitaire, plusieurs États des Pays-Bas autrichiens se révoltèrent et formèrent l’éphémère confédération des États belgiques unis (carte).;2017-01-12;1;2017
David Bowie n’avait pas les yeux vairons, mais souffrait d’une mydriase permanente à l’œil gauche.;2017-01-12;1;2017
Dans l’échelle définie par Celsius en 1742 (schéma), le zéro correspondait au point d’ébullition de l’eau et 100 degrés à son point de congélation.;2017-01-13;1;2017
Les dialogues du film Yes de Sally Potter (2004) sont entièrement écrits en pentamètres iambiques.;2017-01-13;1;2017
L’agriculture occupait plus de 37 % de la surface des terres émergées dans le monde en 2013.;2017-01-14;1;2017
La Ligue du Nord, parti régionaliste et ethno-nationaliste italien, se réfère à la Padanie (carte), entité géographique sans précédent historique.;2017-01-14;1;2017
George Lucas a perdu deux procès en cherchant à interdire l’utilisation de l’expression Star Wars dans la promotion de l’Initiative de défense stratégique (logo).;2017-01-15;1;2017
Les pays de la Généralité sont une région historique des Pays-Bas.;2017-01-15;1;2017
500 millions de dollars de diamants et une toile de Picasso ont également disparu dans le crash du vol 111 Swissair (photo).;2017-01-16;1;2017
Fordlândia, une ville créée au Brésil par Henry Ford dans le but exclusif de produire du caoutchouc, est aujourd’hui une ville fantôme.;2017-01-16;1;2017
Lors de sa procédure de naturalisation, le logicien Kurt Gödel (portrait) a confié avoir trouvé dans la constitution des États-Unis une contradiction permettant de transformer en toute légalité le pays en dictature.;2017-01-17;1;2017
Utilisé pendant la Première Guerre mondiale, l’elektron permettait de fabriquer des bombes incendiaires capables de faire fondre les plaques de blindage.;2017-01-17;1;2017
40 ans après la révolution des Œillets (commémoration), le préambule de la constitution portugaise proclame toujours la volonté d’« ouvrir la voie vers une société socialiste ».;2017-01-18;1;2017
Toyota était à l’origine une usine de textiles.;2017-01-18;1;2017
Louis XVI est le grand-oncle par alliance de Napoléon Ier.;2017-01-19;1;2017
Adopté pour la première fois par la fédération de Paris du Parti socialiste au début des années 1970, l’emblème de la rose au poing a été repris par l’Internationale socialiste (logo) en 1979.;2017-01-19;1;2017
Certains présidents des États-Unis, comme John Quincy Adams (photo), Theodore Roosevelt ou Lyndon B. Johnson, n’ont pas prêté serment sur la Bible.;2017-01-20;1;2017
L’épisode Les Simpson dans 30 ans, diffusé en 2000, relate l’élection de Lisa Simpson comme présidente des États-Unis en 2030, après un bilan catastrophique de Donald Trump.;2017-01-20;1;2017
I’m Happy Just to Dance with You et Do You Want to Know a Secret sont les seules chansons signées Lennon/McCartney et interprétées par George Harrison (photo).;2017-01-21;1;2017
Le réalisateur Francis Girod a adapté au cinéma un roman de Françoise Giroud.;2017-01-21;1;2017
La vespasienne (photo) doit son nom à l’empereur romain Vespasien, qui est à l’origine d’un impôt spécial sur la collecte de l’urine, utilisée par les teinturiers.;2017-01-22;1;2017
La Voie lactée est gauchie.;2017-01-22;1;2017
François Ier condamna Triboulet (gravure) à mourir de vieillesse.;2017-01-23;1;2017
Le Cobra royal se nourrit presque exclusivement d’autres serpents.;2017-01-23;1;2017
Un couple de Suédois a voulu prénommer son enfant Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116.;2017-01-24;1;2017
En 1961, une ogive thermonucléaire de 2,4 mégatonnes éjectée par un B-52 en perdition (photo) a entamé sa procédure de détonation au-dessus de la Caroline du Nord.;2017-01-24;1;2017
Les Wallons de Suède (photo) ont constitué un modèle mythique pour le syndicalisme de la métallurgie suédoise des années 1920.;2017-01-25;1;2017
Dashrath Manjhi, travailleur agricole indien, creusa pendant 22 ans une tranchée entre son village et l’hôpital, et eut droit à des obsèques d’État.;2017-01-25;1;2017
En répétant la transformation du Photomaton, on finit toujours par retrouver l’image de départ (photo).;2017-01-26;1;2017
Pierre Bachelet et Hervé Roy figurent parmi les coauteurs de Littlest Things, un des premiers succès de Lily Allen.;2017-01-26;1;2017
Madeleine Pelletier (photo), première femme médecin diplômée en psychiatrie en France, et opposée aux internements forcés, a terminé sa vie internée de force en hôpital psychiatrique.;2017-01-27;1;2017
De façon inexpliquée, on ne trouve pas la même taille pour le proton suivant qu’on se sert d’un électron ou d’un muon pour l’estimer.;2017-01-27;1;2017
Bien qu’honoré comme tel au Japon, l’historien de l’art Langdon Warner n’est pas le sauveur des anciennes capitales impériales du pays : Kyoto et Nara.;2017-01-28;1;2017
L’hymne national de la principauté d’Andorre (drapeau) en fait « la seule fille de l’empereur Charlemagne ».;2017-01-28;1;2017
La Marseillaise a été enseignée dans les écoles de la Chine maoïste jusque dans les années 1970.;2017-01-29;1;2017
L’épisode du cheval de Troie (illustration) apparaît dans l’Odyssée mais non dans l’Iliade.;2017-01-29;1;2017
Le New York Times a échoué au test de Finkbeiner en mentionnant le bœuf Stroganov de l’ingénieure Yvonne Brill (photo).;2017-01-30;1;2017
Une variété ancienne de Silene stenophylla, une plante herbacée, a été régénérée par culture de tissus de fruits vieux de 32 000 ans, conservés dans le pergélisol sibérien.;2017-01-30;1;2017
La vache qui rit (publicité) doit son nom aux Valkyries.;2017-01-31;1;2017
Depuis 62 ans, la commune de Châteauneuf-du-Pape dans le Vaucluse fait parler d’elle en affirmant interdire son survol par les soucoupes volantes.;2017-01-31;1;2017
Le drapeau du Togo (image) est un rectangle d’or.;2017-02-01;2;2017
En février 2016, la Banque centrale du Bangladesh s’est fait dérober 81 millions de dollars dans un cyber-braquage.;2017-02-01;2;2017
Léopold Ier (portrait équestre), le premier roi des Belges, avait servi dans l’armée impériale russe.;2017-02-01;2;2017
Au baseball, il ne fait pas bon être sous la ligne de Mendoza.;2017-02-01;2;2017
Sans la maitrise du feu, l’homme moderne devrait manger plus de 9 heures par jour pour alimenter suffisamment son cerveau.;2017-02-02;2;2017
L’aérostat dirigeable Dupuy de Lôme qui s’envola le 2 février 1872 était à propulsion humaine (gravure).;2017-02-02;2;2017
L’Inde est le pays indépendant qui possède la plus longue constitution écrite (reproduction).;2017-02-02;2;2017
Chaque 2 février, les Nord-Américains célèbrent le jour de la marmotte.;2017-02-02;2;2017
Construite au VIIIe siècle, la digue d’Offa (photo) a préfiguré la frontière entre l’Angleterre et le pays de Galles.;2017-02-03;2;2017
Aux débuts de la Restauration, la droite ultraroyaliste défendait un régime parlementaire et l’élargissement du droit de suffrage aux classes populaires.;2017-02-03;2;2017
L’état de plus de 99 % de la matière ordinaire (photo) n’est ni solide, ni liquide, ni gazeux.;2017-02-03;2;2017
Baton Rouge, Des Moines, Montpelier et Pierre sont capitales d’États des États-Unis.;2017-02-03;2;2017
Avec une envergure d’environ 12 mètres, le ptérosaure Hatzegopteryx thambema (dessin d’artiste) est le plus grand reptile volant connu à ce jour.;2017-02-04;2;2017
En 1931, le XV de France fut exclu du Tournoi des Cinq Nations pour son jeu violent et sa pratique du professionnalisme.;2017-02-04;2;2017
Du fait de la topographie des lieux, il n’y avait en 2016 que 26 pilotes certifiés dans le monde pour atterrir à l’aéroport international de Paro (photo), au Bhoutan.;2017-02-04;2;2017
Le centre de détention de Casabianda en Corse est la seule prison ouverte de France.;2017-02-04;2;2017
L’Ionie n’est pas située au bord de la mer Ionienne.;2017-02-05;2;2017
Élu en 2006 puis continument réélu, Keith Ellison (portrait) est le premier membre du Congrès des États-Unis à s’être réclamé de l’islam.;2017-02-05;2;2017
Naypyidaw, capitale de la Birmanie depuis 2005, est considérée comme une « ville fantôme ».;2017-02-05;2;2017
Le requin du Groenland (photo) atteint sa maturité sexuelle vers l’âge de 150 ans.;2017-02-05;2;2017
Le 6 février 2016, en Inde, a eu lieu la première mort humaine scientifiquement imputée à l’impact d’une météorite (animation).;2017-02-06;2;2017
Les faisceaux siciliens — fasci siciliani en italien — sont un mouvement agraire d’inspiration socialiste apparu à la fin du XIXe siècle.;2017-02-06;2;2017
Le symbole de la paix ☮ a d’abord été le logo de l’organisation Campagne pour le désarmement nucléaire (ci-contre), lui-même tiré de l’alphabet sémaphore.;2017-02-06;2;2017
Le poireau, l’oignon et la ciboulette sont tous des aulx.;2017-02-06;2;2017
Mark C. Lee (photo du haut) et Jan Davis (photo du bas), premier couple marié américain dans l’espace, avaient caché leur relation à la NASA avant leur départ sur le vol STS-47.;2017-02-07;2;2017
L’enseignement de la théorie de l’évolution utilise comme exemple les bactéries mangeuses de nylon, matière synthétique créée dans les années 1930.;2017-02-07;2;2017
Selon la loi de la République de Chine (drapeau), la rébellion communiste s’est officiellement achevée le 1er mai 1991.;2017-02-07;2;2017
Adidas et Puma ont été créées par deux frères, Adolf et Rudolf Dassler.;2017-02-07;2;2017
Charles Aznavour est représentant permanent de l’Arménie auprès de l’Organisation des Nations unies à Genève.;2017-02-08;2;2017
Le haussement d’épaules est un exercice de musculation.;2017-02-08;2;2017
