datetime,value,occupancy,value2,value3
2019-06-21 00:00:00+00:00,20.0,49,59,18
2019-06-20 23:00:00+00:00,21.8,70,44,34
2019-06-20 22:00:00+00:00,26.5,49,76,39
2019-06-20 21:00:00+00:00,24.9,75,63,23
2019-06-20 20:00:00+00:00,21.4,22,44,13
2019-06-20 19:00:00+00:00,25.3,44,55,24
2019-06-20 18:00:00+00:00,23.9,92,29,39
2019-06-20 17:00:00+00:00,23.2,86,31,38
2019-06-20 16:00:00+00:00,19.0,27,96,44
2019-06-20 15:00:00+00:00,19.3,53,78,70
2019-06-20 14:00:00+00:00,20.1,4,80,20
2019-06-20 13:00:00+00:00,19.4,34,91,28
2019-06-19 10:00:00+00:00,26.6,5,87,30
2019-06-19 09:00:00+00:00,27.3,85,14,33
2019-06-18 22:00:00+00:00,39.3,36,99,19
2019-06-18 21:00:00+00:00,23.1,64,33,38
2019-06-18 20:00:00+00:00,17.0,77,75,2
2019-06-18 19:00:00+00:00,15.3,75,23,13
2019-06-18 08:00:00+00:00,49.6,24,75,48
2019-06-18 07:00:00+00:00,52.6,81,70,28
2019-06-18 06:00:00+00:00,51.4,8,1,39
2019-06-18 05:00:00+00:00,33.8,41,86,77
2019-06-18 04:00:00+00:00,26.5,79,60,21
2019-06-18 03:00:00+00:00,45.5,58,55,27
2019-06-18 02:00:00+00:00,39.8,86,57,49
2019-06-18 01:00:00+00:00,60.1,25,77,17
2019-06-18 00:00:00+00:00,66.2,10,72,73
2019-06-17 23:00:00+00:00,73.3,56,50,13
2019-06-17 22:00:00+00:00,51.0,98,39,8
2019-06-17 21:00:00+00:00,38.3,20,61,68
2019-06-17 20:00:00+00:00,20.5,72,62,91
2019-06-17 19:00:00+00:00,15.2,22,7,15
2019-06-17 18:00:00+00:00,15.4,3,84,63
2019-06-17 17:00:00+00:00,14.9,67,58,94
2019-06-17 16:00:00+00:00,11.9,25,18,66
2019-06-17 15:00:00+00:00,13.1,0,49,23
2019-06-17 14:00:00+00:00,11.5,84,31,55
2019-06-17 13:00:00+00:00,9.6,8,34,53
2019-06-17 12:00:00+00:00,10.1,39,43,43
2019-06-17 11:00:00+00:00,15.2,27,42,53
2019-06-17 10:00:00+00:00,16.0,18,37,94
2019-06-17 09:00:00+00:00,30.4,11,64,14
2019-06-17 08:00:00+00:00,51.6,65,6,42
2019-06-17 07:00:00+00:00,54.4,40,84,39
2019-06-17 06:00:00+00:00,52.3,78,5,68
2019-06-17 05:00:00+00:00,44.8,92,55,39
2019-06-17 04:00:00+00:00,45.7,40,69,80
2019-06-17 03:00:00+00:00,49.1,13,41,30
2019-06-17 02:00:00+00:00,53.1,84,39,81
